STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/15/13,5.6,0,22.2,12.2,195"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/16/13,8.1,0,28.3,13.3,163"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/17/13,4.8,0,30,18.9,109"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/18/13,7.9,0,31.1,20,220"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/19/13,11.7,50.8,28.9,6.1,285"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/20/13,5.6,0,12.8,1.7,126"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/21/13,3.3,0,18.9,2.8,71"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/22/13,7.1,0,21.7,5.6,100"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/23/13,7.1,0,23.9,7.8,109"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/24/13,13.2,33.3,25,6.7,224"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/25/13,3,1,12.2,1.1,97"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/26/13,1.8,0,20.6,1.7,42"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/27/13,,50.8,18.3,7.8,146"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/28/13,,26.4,19.4,11.7,105"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/29/13,2.5,0,19.4,7.8,66"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,4/30/13,5.6,0,26.1,8.9,37"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/1/13,5.3,0,28.3,12.2,71"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/2/13,5.6,0,27.2,15,106"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/3/13,6.1,0,25,17.2,95"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/4/13,,44.7,21.1,2.2,163"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/5/13,3.6,1.3,15,2.8,72"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/6/13,0.8,0,17.2,8.3,122"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/7/13,1.5,0.3,17.2,11.1,85"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/8/13,4.1,0,24.4,10,45"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/9/13,9.1,0,28.3,12.8,48"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/10/13,4.6,17,28.3,12.8,64"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/11/13,,24.9,23.9,14.4,114"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/12/13,3.6,0,22.2,7.8,101"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/13/13,6.4,0,18.9,5,89"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/14/13,7.1,0,23.9,5.6,77"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/15/13,11.4,0,30.6,14.4,63"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/16/13,7.9,0,30,14.4,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/17/13,6.6,6.6,28.9,18.3,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/18/13,6.1,11.7,24.4,17.2,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/19/13,5.6,0,29.4,18.3,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/20/13,7.1,0,31.7,20.6,26"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/21/13,6.6,5.1,31.7,17.8,37"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/22/13,,70.6,26.1,17.2,14"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/23/13,5.3,0,27.2,15.6,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/24/13,11.9,0,26.1,11.7,45"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/25/13,5.1,0,23.3,8.9,18"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/26/13,8.4,0,25.6,12.8,0"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/27/13,7.4,0,29.4,15,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/28/13,1,0,30,17.2,24"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/29/13,15.5,0,30.6,16.7,32"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/30/13,,0,31.1,18.3,27"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,5/31/13,12.4,19.1,30.6,15,45"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/1/13,,36.8,24.4,17.8,35"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/2/13,4.3,10.2,25,17.8,27"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/3/13,4.3,0,26.7,14.4,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/4/13,4.1,0,26.7,14.4,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/5/13,9.9,9.4,29.4,16.1,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/6/13,5.6,1.5,30,18.9,6"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/7/13,8.6,0,28.3,20,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/8/13,5.6,0,27.2,14.4,21"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/9/13,6.1,1,28.9,17.8,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/10/13,3.3,20.3,30.6,18.9,37"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/11/13,5.8,0,31.7,18.9,56"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/12/13,11.2,0,35,21.1,19"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/13/13,9.9,0,35,21.7,58"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/14/13,5.8,0,32.8,16.1,89"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/15/13,16.8,0,29.4,16.1,39"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/16/13,6.9,0,31.1,18.3,5"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/17/13,1,0,30,21.1,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/18/13,8.9,36.8,30.6,20,10"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/19/13,2,0,28.3,18.3,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/20/13,7.1,0,32.2,18.9,2"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/21/13,6.9,0,33.3,19.4,3"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/22/13,12.7,0,32.2,20.6,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/23/13,7.4,0,32.2,21.1,13"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/24/13,6.4,0,32.2,22.2,13"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/25/13,8.4,0,33.9,22.2,11"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/26/13,7.4,0,32.8,22.2,31"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/27/13,6.1,0,33.3,23.3,101"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/28/13,11.4,0,36.7,21.1,39"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/29/13,7.6,4.1,31.7,17.8,31"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,6/30/13,9.4,0,31.1,15.6,56"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/1/13,1.3,4.8,27.8,17.2,35"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/2/13,4.6,10.2,25,16.7,8"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/3/13,5.3,0,28.9,15,16"
"USC00404561,""JACKSON EXPERIMENTAL STATION, TN US"",35.6213,-88.8456,121.9,7/4/13,9.7,0,28.9,16.1,2"
